,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,5,3,3,4,15,2,3,11,17,3,2,16,5,5,3,3
M02,3,6,6,7,5,11,5,5,9,11,13,5,7,3,7,6
M03,11,19,19,19,16,14,19,20,20,20,19,6,16,19,19,19
M04,10,13,14,14,12,12,14,17,8,12,9,14,14,15,13,13
M05,19,17,17,16,6,15,17,6,3,14,10,8,20,18,17,16
M06,1,2,2,2,7,1,2,7,5,1,1,2,2,2,2,2
M07,20,20,18,18,17,16,20,18,14,17,17,15,18,20,20,20
M08,16,14,13,12,8,17,13,8,4,15,14,10,19,16,15,14
M09,2,1,1,1,9,3,1,9,10,2,3,11,1,1,1,1
M10,6,9,8,8,10,18,9,10,6,4,4,19,12,10,9,9
M11,8,10,10,11,19,5,8,15,19,9,11,12,13,7,11,10
M12,13,4,5,5,13,4,4,12,11,5,12,13,3,4,4,4
M13,15,12,12,13,18,19,12,16,16,13,15,7,15,12,12,12
M14,18,16,16,17,14,20,15,19,13,18,20,9,17,13,18,17
W01,14,18,20,20,20,6,18,13,18,19,18,1,11,17,16,18
W02,7,5,4,3,1,7,7,1,7,6,5,20,8,8,5,5
W03,4,7,9,9,2,8,6,2,12,7,6,3,4,6,6,7
W04,17,15,15,15,3,13,16,3,2,16,16,4,10,14,14,15
W05,12,11,11,10,4,9,11,4,1,10,7,18,9,11,10,11
W06,9,8,7,6,11,10,10,14,15,8,8,17,6,9,8,8
