,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,11,10,8,8,13,14,11,11,8,9,8,16,9,10,9,10
M02,20,17,18,18,19,15,19,19,15,15,13,5,19,18,17,17
M03,1,3,3,3,4,5,3,4,10,6,9,6,4,3,3,3
M04,12,11,11,11,5,1,10,5,3,13,14,14,10,9,11,11
M05,8,18,17,17,20,16,18,17,17,14,10,8,18,19,18,18
M06,16,8,10,10,14,17,8,12,18,8,11,2,12,11,8,8
M07,3,4,4,4,6,2,4,6,7,3,2,15,3,4,4,4
M08,5,16,15,13,17,8,14,15,11,18,17,10,16,13,16,16
M09,2,7,7,7,7,18,6,7,6,7,12,11,6,5,6,7
M10,15,9,9,9,15,9,9,18,13,12,15,19,11,8,10,9
M11,13,5,5,5,8,19,5,8,12,4,5,12,5,6,7,5
M12,19,14,13,15,9,10,12,9,9,17,18,13,14,14,15,14
M13,9,19,19,19,18,20,17,16,16,20,20,7,13,17,19,19
M14,6,1,1,1,10,6,1,10,2,1,3,9,2,1,1,1
W01,17,15,14,14,11,11,13,20,20,11,6,1,7,12,13,15
W02,4,2,2,2,1,3,2,1,1,2,1,20,1,2,2,2
W03,10,6,6,6,2,7,7,2,4,5,4,3,8,7,5,6
W04,18,13,12,12,16,12,16,14,14,16,16,4,15,16,12,12
W05,7,12,16,16,12,4,15,13,19,10,7,18,17,15,14,13
W06,14,20,20,20,3,13,20,3,5,19,19,17,20,20,20,20
