,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,5,9,8,7,5,15,7,5,2,7,7,3,1,7,1,7
M02,8,7,7,8,9,8,8,10,10,10,10,1,2,8,2,8
M03,6,8,9,9,11,7,9,9,11,8,8,4,3,9,3,9
M04,2,10,10,10,13,10,10,11,12,9,9,8,4,10,4,10
M05,9,13,13,13,10,16,13,16,6,13,12,5,13,13,6,11
M06,15,12,12,12,14,9,12,12,16,12,13,7,11,12,11,13
M07,3,11,11,11,16,11,11,13,13,11,11,15,8,11,14,14
M08,10,14,14,14,6,12,14,6,8,15,15,2,14,14,8,12
M09,13,15,15,15,15,13,15,14,17,14,14,16,15,15,15,15
M10,12,16,16,17,18,14,16,15,19,18,18,18,16,16,17,17
M11,18,17,18,18,17,17,17,17,18,16,16,17,17,17,18,18
M12,16,18,17,16,12,18,19,18,15,17,17,6,19,19,16,16
M13,20,19,19,19,20,19,18,19,20,19,19,20,18,18,19,19
M14,19,20,20,20,19,20,20,20,14,20,20,19,20,20,20,20
W01,7,2,2,2,1,2,2,1,4,2,1,9,6,2,7,2
W02,11,3,3,3,2,3,3,2,5,3,2,11,7,3,9,3
W03,1,1,1,1,3,1,1,3,1,1,3,10,5,1,5,1
W04,4,4,4,4,4,5,4,4,7,4,4,13,9,4,10,4
W05,14,5,5,5,7,4,5,7,9,5,5,12,10,5,12,5
W06,17,6,6,6,8,6,6,8,3,6,6,14,12,6,13,6
