,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,14,10,10,10,11,8,11,15,15,10,6,16,10,11,12,10
M02,3,3,3,3,3,2,4,3,3,5,7,5,4,4,4,3
M03,5,7,7,7,4,12,7,4,12,7,8,6,7,7,9,7
M04,12,11,11,11,12,13,10,14,13,11,9,14,13,12,13,11
M05,10,15,14,14,13,14,16,18,18,14,10,8,19,16,19,14
M06,17,13,12,12,15,15,12,13,8,13,11,2,15,10,16,13
M07,13,6,5,5,5,16,6,5,7,6,12,15,6,6,6,6
M08,15,1,1,1,6,17,2,6,1,2,3,10,2,1,2,1
M09,9,5,6,6,7,3,5,7,11,4,4,11,5,5,5,5
M10,20,9,9,8,8,18,9,8,5,9,13,19,12,9,10,8
M11,19,19,19,19,20,19,19,20,20,19,20,12,20,19,20,19
M12,6,8,8,9,9,4,8,9,10,8,14,13,8,8,8,9
M13,8,12,13,13,19,9,13,12,17,12,15,7,18,13,14,12
M14,2,2,2,2,10,20,1,10,6,1,1,9,3,2,3,2
W01,16,18,18,18,1,5,17,1,2,18,17,1,16,18,17,18
W02,18,20,20,20,16,6,18,16,9,20,18,20,14,17,18,20
W03,11,14,15,16,17,1,14,11,19,16,16,3,9,15,7,15
W04,7,16,16,15,14,10,15,17,14,15,5,4,11,14,11,16
W05,4,17,17,17,18,11,20,19,16,17,19,18,17,20,15,17
W06,1,4,4,4,2,7,3,2,4,3,2,17,1,3,1,4
